Mod:Item:MetaData, Localized Name
Botania:miniIsland:7, Flor Cinza Flutuante
Botania:miniIsland:8, Flor Cinza Claro Flutuante
Botania:miniIsland:9, Flor Ciano Flutuante
Botania:miniIsland:10, Flor Roxa Flutuante
Botania:miniIsland:11, Flor Azul Flutuante
Botania:miniIsland:12, Flor Marrom Flutuante
Botania:miniIsland:13, Flor Verde Flutuante
Botania:miniIsland:14, Flor Vermelha Flutuante
Botania:miniIsland:15, Flor Preta Flutuante
Botania:tinyPotato, tile.tinyPotato.name
Botania:spawnerClaw, tile.spawnerClaw.name
Botania:reedBlock, tile.reedBlock.name
Botania:thatch, tile.thatch.name
Botania:customBrick:0, Tijolo Infernal
Botania:customBrick:1, Tijolo da Alma
Botania:customBrick:2, Tijolo Invernal
Botania:customBrick:3, Ladrilhos de Tijolo
Botania:customBrick:4, Azulejo
Botania:customBrick:5, Azulejo
Botania:customBrick:6, Azulejo
Botania:customBrick:7, Azulejo
Botania:customBrick:8, Azulejo
Botania:customBrick:9, Azulejo
Botania:customBrick:10, Azulejo
Botania:customBrick:11, Azulejo
Botania:customBrick:12, Azulejo
Botania:customBrick:13, Azulejo
Botania:customBrick:14, Azulejo
Botania:customBrick:15, Azulejo
Botania:enderEyeBlock, tile.enderEyeBlock.name
Botania:starfield, tile.starfield.name
Botania:rfGenerator, tile.rfGenerator.name
Botania:elfGlass, tile.elfGlass.name
Botania:brewery, tile.brewery.name
Botania:manaGlass, tile.manaGlass.name
Botania:terraPlate, tile.terraPlate.name
Botania:redStringContainer, tile.redStringContainer.name
Botania:redStringDispenser, tile.redStringDispenser.name
Botania:redStringFertilizer, tile.redStringFertilizer.name
Botania:redStringComparator, tile.redStringComparator.name
Botania:redStringRelay, tile.redStringRelay.name
Botania:floatingSpecialFlower, tile.floatingSpecialFlower.name
Botania:manaFlame, tile.manaFlame.name
Botania:prism, tile.prism.name
Botania:dirtPath, tile.dirtPath.name
Botania:enchantedSoil, tile.enchantedSoil.name
Botania:petalBlock:0, Bloco de Pétalas Branco
Botania:petalBlock:1, Bloco de Pétalas Laranja
Botania:petalBlock:2, Bloco de Pétalas Magenta
Botania:petalBlock:3, Bloco de Pétalas Azul Claro
Botania:petalBlock:4, Bloco de Pétalas Amarelo
Botania:petalBlock:5, Bloco de Pétalas Lima
Botania:petalBlock:6, Bloco de Pétalas Rosa
Botania:petalBlock:7, Bloco de Pétalas Cinza
Botania:petalBlock:8, Bloco de Pétalas Cinza Claro
Botania:petalBlock:9, Bloco de Pétalas Ciano
Botania:petalBlock:10, Bloco de Pétalas Roxo
Botania:petalBlock:11, Bloco de Pétalas Azul
Botania:petalBlock:12, Bloco de Pétalas Marrom
Botania:petalBlock:13, Bloco de Pétalas Verde
Botania:petalBlock:14, Bloco de Pétalas Vermelho
Botania:petalBlock:15, Bloco de Pétalas Preto
Botania:corporeaIndex, tile.corporeaIndex.name
Botania:corporeaFunnel, tile.corporeaFunnel.name
Botania:endStoneBrick:0, Tijolos de Pedra do Fim
Botania:endStoneBrick:1, Tijolos de Pedra do Fim Talhados
Botania:endStoneBrick:2, Tijolos do Fim
Botania:endStoneBrick:3, Pilar de Tijolos do Fim
Botania:mushroom:0, Cogumelo Brilhante Branco
Botania:mushroom:1, Cogumelo Brilhante Laranja
Botania:mushroom:2, Cogumelo Brilhante Magenta
Botania:mushroom:3, Cogumelo Brilhante Azul Claro
Botania:mushroom:4, Cogumelo Brilhante Amarelo
Botania:mushroom:5, Cogumelo Brilhante Lima
Botania:mushroom:6, Cogumelo Brilhante Rosa
Botania:mushroom:7, Cogumelo Brilhante Cinza
Botania:mushroom:8, Cogumelo Brilhante Cinza Claro
Botania:mushroom:9, Cogumelo Brilhante Ciano
Botania:mushroom:10, Cogumelo Brilhante Roxo
Botania:mushroom:11, Cogumelo Brilhante Azul
Botania:mushroom:12, Cogumelo Brilhante Marrom
Botania:mushroom:13, Cogumelo Brilhante Verde
Botania:mushroom:14, Cogumelo Brilhante Vermelho
Botania:mushroom:15, Cogumelo Brilhante Preto
Botania:pump, tile.pump.name
Botania:doubleFlower1:0, Flor Mística Alta Branca
Botania:doubleFlower1:1, Flor Mística Alta Laranja
Botania:doubleFlower1:2, Flor Mística Alta Magenta
Botania:doubleFlower1:3, Flor Mística Alta Azul Claro
Botania:doubleFlower1:4, Flor Mística Alta Amarela
Botania:doubleFlower1:5, Flor Mística Alta Lima
Botania:doubleFlower1:6, Flor Mística Alta Rosa
Botania:doubleFlower1:7, Flor Mística Alta Cinza
Botania:doubleFlower2:0, Flor Mística Alta Cinza Claro
Botania:doubleFlower2:1, Flor Mística Alta Ciano
Botania:doubleFlower2:2, Flor Mística Alta Roxa
Botania:doubleFlower2:3, Flor Mística Alta Azul
Botania:doubleFlower2:4, Flor Mística Alta Marrom
Botania:doubleFlower2:5, Flor Mística Alta Verde
Botania:doubleFlower2:6, Flor Mística Alta Vermelha
Botania:doubleFlower2:7, Flor Mística Alta Preta
Botania:fakeAir, tile.fakeAir.name
Botania:blazeBlock, tile.blazeBlock.name
Botania:corporeaInterceptor, tile.corporeaInterceptor.name
Botania:corporeaCrystalCube, tile.corporeaCrystalCube.name
Botania:incensePlate, tile.incensePlate.name
Botania:hourglass, tile.hourglass.name
Botania:ghostRail, tile.ghostRail.name
Botania:sparkChanger, tile.sparkChanger.name
Botania:root, tile.root.name
Botania:felPumpkin, tile.felPumpkin.name
Botania:cocoon, tile.cocoon.name
Botania:lightRelay:0, Luminizer
Botania:lightRelay:1, Luminizer Detector
Botania:lightLauncher, tile.lightLauncher.name
Botania:manaBomb, tile.manaBomb.name
Botania:cacophoniumBlock, tile.cacophoniumBlock.name
Botania:bellows, tile.bellows.name
Botania:bifrostPerm, tile.bifrostPerm.name
Botania:cellBlock, tile.cellBlock.name
Botania:redStringInterceptor, tile.redStringInterceptor.name
Botania:gaiaHeadBlock, tile.gaiaHeadBlock.name
Botania:corporeaRetainer, tile.corporeaRetainer.name
Botania:teruTeruBozu, tile.teruTeruBozu.name
Botania:shimmerrock, tile.shimmerrock.name
Botania:shimmerwoodPlanks, tile.shimmerwoodPlanks.name
Botania:avatar, tile.avatar.name
Botania:altGrass:0, Grama Seca
Botania:altGrass:1, Grama Dourada
Botania:altGrass:2, Grama Vívia
Botania:altGrass:3, Grama Queimada
Botania:altGrass:4, Grama Infusa
Botania:altGrass:5, Grama Mutante
Botania:livingwood0Stairs, tile.livingwood0Stairs.name
Botania:livingwood0Wall, tile.livingwood0Wall.name
Botania:livingwood1Stairs, tile.livingwood1Stairs.name
Botania:livingrock0Stairs, tile.livingrock0Stairs.name
Botania:livingrock0Wall, tile.livingrock0Wall.name
Botania:livingrock1Stairs, tile.livingrock1Stairs.name
Botania:dreamwood0Stairs, tile.dreamwood0Stairs.name
Botania:dreamwood0Wall, tile.dreamwood0Wall.name
Botania:dreamwood1Stairs, tile.dreamwood1Stairs.name
Botania:prismarine0Stairs, tile.prismarine0Stairs.name
Botania:prismarine0Wall, tile.prismarine0Wall.name
Botania:prismarine1Stairs, tile.prismarine1Stairs.name
Botania:prismarine2Stairs, tile.prismarine2Stairs.name
Botania:reedBlock0Stairs, tile.reedBlock0Stairs.name
Botania:reedBlock0Wall, tile.reedBlock0Wall.name
Botania:thatch0Stairs, tile.thatch0Stairs.name
Botania:customBrick0Stairs, tile.customBrick0Stairs.name
Botania:customBrick1Stairs, tile.customBrick1Stairs.name
Botania:customBrick2Stairs, tile.customBrick2Stairs.name
Botania:customBrick3Stairs, tile.customBrick3Stairs.name
Botania:biomeStoneA:0, Pedra Metamórfica - Floresta
Botania:biomeStoneA:1, Pedra Metamórfica - Planície
Botania:biomeStoneA:2, Pedra Metamórfica - Montanha
Botania:biomeStoneA:3, Pedra Metamórfica - Fungos
Botania:biomeStoneA:4, Pedra Metamórfica - Pântano
Botania:biomeStoneA:5, Pedra Metamórfica - Deserto
Botania:biomeStoneA:6, Pedra Metamórfica - Taiga
Botania:biomeStoneA:7, Pedra Metamórfica - Mesa
Botania:biomeStoneA:8, Pedregulho Metamórfico - Floresta
Botania:biomeStoneA:9, Pedregulho Metamórfico - Planície
Botania:biomeStoneA:10, Pedregulho Metamórfico - Montanha
Botania:biomeStoneA:11, Pedregulho Metamórfico - Fungos
Botania:biomeStoneA:12, Pedregulho Metamórfico - Pântano
Botania:biomeStoneA:13, Pedregulho Metamórfico - Deserto
Botania:biomeStoneA:14, Pedregulho Metamórfico - Taiga
Botania:biomeStoneA:15, Pedregulho Metamórfico - Mesa
Botania:biomeStoneB:0, Tijolos Metamórficos - Floresta
Botania:biomeStoneB:1, Tijolos Metamórficos - Planície
Botania:biomeStoneB:2, Tijolos Metamórficos - Montanha
Botania:biomeStoneB:3, Tijolos Metamórficos - Fungos
Botania:biomeStoneB:4, Tijolos Metamórficos - Pântano
Botania:biomeStoneB:5, Tijolos Metamórficos - Deserto
Botania:biomeStoneB:6, Tijolos Metamórficos - Taiga
Botania:biomeStoneB:7, Tijolos Metamórficos - Mesa
Botania:biomeStoneB:8, Tijolos Metamórficos Talhados - Floresta
Botania:biomeStoneB:9, Tijolos Metamórficos Talhados - Planície
Botania:biomeStoneB:10, Tijolos Metamórficos Talhados - Montanha
Botania:biomeStoneB:11, Tijolos Metamórficos Talhados - Fungos
Botania:biomeStoneB:12, Tijolos Metamórficos Talhados - Pântano
Botania:biomeStoneB:13, Tijolos Metamórficos Talhados - Deserto
Botania:biomeStoneB:14, Tijolos Metamórficos Talhados - Taiga
Botania:biomeStoneB:15, Tijolos Metamórficos Talhados - Mesa
Botania:stone:0, Andesito
Botania:stone:1, Basalto
Botania:stone:2, Diorito
Botania:stone:3, Granito
Botania:stone:4, Andesito Polido
Botania:stone:5, Basalto Polido
Botania:stone:6, Diorito Polido
Botania:stone:7, Granito Polido
Botania:stone:8, Tijolos de Andesito
Botania:stone:9, Tijolos de Basalto
Botania:stone:10, Tijoloes de Diorito
Botania:stone:11, Tijolos de Granito
Botania:stone:12, Tijolos de Andesito Talhados
Botania:stone:13, Tijolos de Basalto Talhados
Botania:stone:14, Tijolos de Diorito Talhados
Botania:stone:15, Tijolos de Granito Talhados
Botania:pavement:0, Pavemento Português Branco
Botania:pavement:1, Pavemento Português Preto
Botania:pavement:2, Pavemento Português Azul
Botania:pavement:3, Pavemento Português Vermelho
Botania:pavement:4, Pavemento Português Amarelo
Botania:pavement:5, Pavemento Português Verde
Botania:quartzTypeDark:0, Bloco de Quartzo Escuro
Botania:quartzTypeDark:1, Bloco de Quartzo Escuro Talhado
Botania:quartzTypeDark:2, Pilar de Quartzo Escuro
Botania:quartzStairsDark, tile.quartzStairsDark.name
Botania:quartzTypeMana:0, Bloco de Quartzo de Mana
Botania:quartzTypeMana:1, Bloco de Quartzo de Mana Talhado
Botania:quartzTypeMana:2, Pilar de Quartzo de Mana
Botania:quartzStairsMana, tile.quartzStairsMana.name
Botania:quartzTypeBlaze:0, Bloco de Quartzo Flamejante
Botania:quartzTypeBlaze:1, Bloco de Quartzo Flamejante Talhado
Botania:quartzTypeBlaze:2, Pilar de Quartzo Flamejante
Botania:quartzStairsBlaze, tile.quartzStairsBlaze.name
Botania:quartzTypeLavender:0, Bloco de Quartzo de Lavanda
Botania:quartzTypeLavender:1, Bloco de Quartzo de Lavanda Talhado
Botania:quartzTypeLavender:2, Pilar de Quartzo de Lavanda
Botania:quartzStairsLavender, tile.quartzStairsLavender.name
Botania:quartzTypeRed:0, Bloco de Quartzo-vermelho
Botania:quartzTypeRed:1, Bloco de Quartzo-vermelho Talhado
Botania:quartzTypeRed:2, Pilar de Quartzo-vermelho
Botania:quartzStairsRed, tile.quartzStairsRed.name
Botania:quartzTypeElf:0, Bloco de Quartzo Élfico
Botania:quartzTypeElf:1, Bloco de Quartzo Élfico Talhado
Botania:quartzTypeElf:2, Pilar de Quartzo Élfico
Botania:quartzStairsElf, tile.quartzStairsElf.name
Botania:quartzTypeSunny:0, Bloco de Quartzo Solar
Botania:quartzTypeSunny:1, Bloco de Quartzo Solar Talhado
Botania:quartzTypeSunny:2, Pilar de Quartzo Solar
Botania:quartzStairsSunny, tile.quartzStairsSunny.name
Botania:biomeStoneA0Stairs, tile.biomeStoneA0Stairs.name
Botania:biomeStoneA1Stairs, tile.biomeStoneA1Stairs.name
Botania:biomeStoneA2Stairs, tile.biomeStoneA2Stairs.name
Botania:biomeStoneA3Stairs, tile.biomeStoneA3Stairs.name
Botania:biomeStoneA4Stairs, tile.biomeStoneA4Stairs.name
Botania:biomeStoneA5Stairs, tile.biomeStoneA5Stairs.name
Botania:biomeStoneA6Stairs, tile.biomeStoneA6Stairs.name
Botania:biomeStoneA7Stairs, tile.biomeStoneA7Stairs.name
Botania:biomeStoneA8Stairs, tile.biomeStoneA8Stairs.name
Botania:biomeStoneA9Stairs, tile.biomeStoneA9Stairs.name
Botania:biomeStoneA10Stairs, tile.biomeStoneA10Stairs.name
Botania:biomeStoneA11Stairs, tile.biomeStoneA11Stairs.name
Botania:biomeStoneA12Stairs, tile.biomeStoneA12Stairs.name
Botania:biomeStoneA13Stairs, tile.biomeStoneA13Stairs.name
Botania:biomeStoneA14Stairs, tile.biomeStoneA14Stairs.name
Botania:biomeStoneA15Stairs, tile.biomeStoneA15Stairs.name
Botania:biomeStoneB0Stairs, tile.biomeStoneB0Stairs.name
Botania:biomeStoneB1Stairs, tile.biomeStoneB1Stairs.name
Botania:biomeStoneB2Stairs, tile.biomeStoneB2Stairs.name
Botania:biomeStoneB3Stairs, tile.biomeStoneB3Stairs.name
Botania:biomeStoneB4Stairs, tile.biomeStoneB4Stairs.name
Botania:biomeStoneB5Stairs, tile.biomeStoneB5Stairs.name
Botania:biomeStoneB6Stairs, tile.biomeStoneB6Stairs.name
Botania:biomeStoneB7Stairs, tile.biomeStoneB7Stairs.name
Botania:biomeStoneA0Wall:0, Muro de Pedra Metamórfica - Floresta
Botania:biomeStoneA0Wall:1, Muro de Pedra Metamórfica - Planície
Botania:biomeStoneA0Wall:2, Muro de Pedra Metamórfica - Montanha
Botania:biomeStoneA0Wall:3, Muro de Pedra Metamórfica - Fungo
Botania:biomeStoneA0Wall:4, Muro de Pedra Metamórfica - Pântano
Botania:biomeStoneA0Wall:5, Muro de Pedra Metamórfica - Deserto
Botania:biomeStoneA0Wall:6, Muro de Pedra Metamórfica - Taiga
Botania:biomeStoneA0Wall:7, Muro de Pedra Metamórfica - Mesa
Botania:stone0Stairs, tile.stone0Stairs.name
Botania:stone1Stairs, tile.stone1Stairs.name
Botania:stone2Stairs, tile.stone2Stairs.name
Botania:stone3Stairs, tile.stone3Stairs.name
Botania:stone8Stairs, tile.stone8Stairs.name
Botania:stone9Stairs, tile.stone9Stairs.name
Botania:stone10Stairs, tile.stone10Stairs.name
Botania:stone11Stairs, tile.stone11Stairs.name
Botania:stone0Wall:0, Muro de Andesito
Botania:stone0Wall:1, Muro de Basalto
Botania:stone0Wall:2, Muro de Diorito
Botania:stone0Wall:3, Muro de Granito
Botania:pavement0Stairs, tile.pavement0Stairs.name
Botania:pavement1Stairs, tile.pavement1Stairs.name
Botania:pavement2Stairs, tile.pavement2Stairs.name
Botania:pavement3Stairs, tile.pavement3Stairs.name
Botania:pavement4Stairs, tile.pavement4Stairs.name
Botania:pavement5Stairs, tile.pavement5Stairs.name
Botania:endStoneBrick0Stairs, tile.endStoneBrick0Stairs.name
Botania:endStoneBrick2Stairs, tile.endStoneBrick2Stairs.name
Botania:shimmerrock0Stairs, tile.shimmerrock0Stairs.name
Botania:shimmerwoodPlanks0Stairs, tile.shimmerwoodPlanks0Stairs.name
Botania:manaGlassPane, tile.manaGlassPane.name
Botania:elfGlassPane, tile.elfGlassPane.name
Botania:bifrostPermPane, tile.bifrostPermPane.name
Botania:quartzSlabDarkHalf:0, Laje de Quartzo Escuro
Botania:quartzSlabDarkFull:0, Laje de Quartzo Escuro
Botania:quartzSlabManaHalf:0, Laje de Quartzo de Mana
Botania:quartzSlabManaFull:0, Laje de Quartzo de Mana
Botania:quartzSlabBlazeHalf:0, Laje de Quartzo Flamejante
Botania:quartzSlabBlazeFull:0, Laje de Quartzo Flamejante
Botania:quartzSlabLavenderHalf:0, Laje de Quartzo de Lavanda
Botania:quartzSlabLavenderFull:0, Laje de Quartzo de Lavanda
Botania:quartzSlabRedHalf:0, Laje de Quartzo-vermelho
Botania:quartzSlabRedFull:0, Laje de Quartzo-vermelho
Botania:quartzSlabElfHalf:0, Laje de Quartzo Élfico
Botania:quartzSlabElfFull:0, Laje de Quartzo Élfico
Botania:quartzSlabSunnyHalf:0, Laje de Quartzo Solar
Botania:quartzSlabSunnyFull:0, Laje de Quartzo Solar
Botania:livingwood0Slab:0, Laje de de Madeira-viva
Botania:livingwood0SlabFull:0, Laje de de Madeira-viva
Botania:livingwood1Slab:0, Laje de Tábuas de Madeira-viva
Botania:livingwood1SlabFull:0, Laje de Tábuas de Madeira-viva
Botania:livingrock0Slab:0, Laje de Rocha-viva
Botania:livingrock0SlabFull:0, Laje de Rocha-viva
Botania:livingrock1Slab:0, Laje de Tijolos de Rocha-viva
Botania:livingrock1SlabFull:0, Laje de Tijolos de Rocha-viva
Botania:dreamwood0Slab:0, Laje de Madeira dos Sonhos
Botania:dreamwood0SlabFull:0, Laje de Madeira dos Sonhos
Botania:dreamwood1Slab:0, Laje de Tábuas de Madeira dos Sonhos
Botania:dreamwood1SlabFull:0, Laje de Tábuas de Madeira dos Sonhos
Botania:reedBlock0Slab:0, Laje de Cana-de-açúcar
Botania:reedBlock0SlabFull:0, Laje de Cana-de-açúcar
Botania:thatch0Slab:0, Laje de Palha
Botania:thatch0SlabFull:0, Laje de Palha
Botania:prismarine0Slab:0, Laje de Prismarinho
Botania:prismarine0SlabFull:0, Laje de Prismarinho
Botania:prismarine1Slab:0, Laje de Tijolos de Prismarinho
Botania:prismarine1SlabFull:0, Laje de Tijolos de Prismarinho
Botania:prismarine2Slab:0, Laje de Prismarinho Escuro
Botania:prismarine2SlabFull:0, Laje de Prismarinho Escuro
Botania:customBrick0Slab:0, Laje de Tijolo Infernal
Botania:customBrick0SlabFull:0, Laje de Tijolo Infernal
Botania:customBrick1Slab:0, Laje de Tijolo da Alma
Botania:customBrick1SlabFull:0, Laje de Tijolo da Alma
Botania:customBrick2Slab:0, Laje de Tijolo Invernal
Botania:customBrick2SlabFull:0, Laje de Tijolo Invernal
Botania:customBrick3Slab:0, Laje de Ladrilhos de Tijolo
Botania:customBrick3SlabFull:0, Laje de Ladrilhos de Tijolo
Botania:dirtPath0Slab:0, Laje de Caminho de Terra
Botania:dirtPath0SlabFull:0, Laje de Caminho de Terra
Botania:endStoneBrick0Slab:0, Laje de Tijolos do Fim
Botania:endStoneBrick0SlabFull:0, Laje de Tijolos do Fim
Botania:endStoneBrick2Slab:0, Laje de Tijolos de Pedra do Fim
Botania:endStoneBrick2SlabFull:0, Laje de Tijolos de Pedra do Fim
Botania:shimmerrock0Slab:0, Laje de Rocha Reluzente
Botania:shimmerrock0SlabFull:0, Laje de Rocha Reluzente
Botania:shimmerwoodPlanks0Slab:0, Laje de Madeira Reluzente
Botania:shimmerwoodPlanks0SlabFull:0, Laje de Madeira Reluzente
Botania:biomeStoneA0Slab:0, Laje de Pedra Metamórfica - Floresta
Botania:biomeStoneA0SlabFull:0, Laje de Pedra Metamórfica - Floresta
Botania:biomeStoneA1Slab:0, Laje de Pedra Metamórfica - Planície
Botania:biomeStoneA1SlabFull:0, Laje de Pedra Metamórfica - Planície
Botania:biomeStoneA2Slab:0, Laje de Pedra Metamórfica - Montanha
Botania:biomeStoneA2SlabFull:0, Laje de Pedra Metamórfica - Montanha
Botania:biomeStoneA3Slab:0, Laje de Pedra Metamórfica - Fungos
Botania:biomeStoneA3SlabFull:0, Laje de Pedra Metamórfica - Fungos
Botania:biomeStoneA4Slab:0, Laje de Pedra Metamórfica - Pântano
Botania:biomeStoneA4SlabFull:0, Laje de Pedra Metamórfica - Pântano
Botania:biomeStoneA5Slab:0, Laje de Pedra Metamórfica - Deserto
Botania:biomeStoneA5SlabFull:0, Laje de Pedra Metamórfica - Deserto
Botania:biomeStoneA6Slab:0, Laje de Pedra Metamórfica - Taiga
Botania:biomeStoneA6SlabFull:0, Laje de Pedra Metamórfica - Taiga
Botania:biomeStoneA7Slab:0, Laje de Pedra Metamórfica - Mesa
Botania:biomeStoneA7SlabFull:0, Laje de Pedra Metamórfica - Mesa
Botania:biomeStoneA8Slab:0, Laje de Pedregulho Metamórfico - Floresta
Botania:biomeStoneA8SlabFull:0, Laje de Pedregulho Metamórfico - Floresta
Botania:biomeStoneA9Slab:0, Laje de Pedregulho Metamórfico - Planície
Botania:biomeStoneA9SlabFull:0, Laje de Pedregulho Metamórfico - Planície
Botania:biomeStoneA10Slab:0, Laje de Pedregulho Metamórfico - Montanha
Botania:biomeStoneA10SlabFull:0, Laje de Pedregulho Metamórfico - Montanha
Botania:biomeStoneA11Slab:0, Laje de Pedregulho Metamórfico - Fungos
Botania:biomeStoneA11SlabFull:0, Laje de Pedregulho Metamórfico - Fungos
Botania:biomeStoneA12Slab:0, Laje de Pedregulho Metamórfico - Pântano
Botania:biomeStoneA12SlabFull:0, Laje de Pedregulho Metamórfico - Pântano
Botania:biomeStoneA13Slab:0, Laje de Pedregulho Metamórfico - Deserto
Botania:biomeStoneA13SlabFull:0, Laje de Pedregulho Metamórfico - Deserto
Botania:biomeStoneA14Slab:0, Laje de Pedregulho Metamórfico - Taiga
Botania:biomeStoneA14SlabFull:0, Laje de Pedregulho Metamórfico - Taiga
Botania:biomeStoneA15Slab:0, Laje de Pedregulho Metamórfico - Mesa
Botania:biomeStoneA15SlabFull:0, Laje de Pedregulho Metamórfico - Mesa
Botania:biomeStoneB0Slab:0, Laje de Tijolos Metamórficos - Floresta
Botania:biomeStoneB0SlabFull:0, Laje de Tijolos Metamórficos - Floresta
Botania:biomeStoneB1Slab:0, Laje de Tijolos Metamórficos - Planície
Botania:biomeStoneB1SlabFull:0, Laje de Tijolos Metamórficos - Planície
Botania:biomeStoneB2Slab:0, Laje de Tijolos Metamórficos - Montanha
Botania:biomeStoneB2SlabFull:0, Laje de Tijolos Metamórficos - Montanha
Botania:biomeStoneB3Slab:0, Laje de Tijolos Metamórficos - Fungos
Botania:biomeStoneB3SlabFull:0, Laje de Tijolos Metamórficos - Fungos
Botania:biomeStoneB4Slab:0, Laje de Tijolos Metamórficos - Pântano
Botania:biomeStoneB4SlabFull:0, Laje de Tijolos Metamórficos - Pântano
Botania:biomeStoneB5Slab:0, Laje de Tijolos Metamórficos - Deserto
Botania:biomeStoneB5SlabFull:0, Laje de Tijolos Metamórficos - Deserto
Botania:biomeStoneB6Slab:0, Laje de Tijolos Metamórficos - Taiga
Botania:biomeStoneB6SlabFull:0, Laje de Tijolos Metamórficos - Taiga
Botania:biomeStoneB7Slab:0, Laje de Tijolos Metamórficos - Mesa
Botania:biomeStoneB7SlabFull:0, Laje de Tijolos Metamórficos - Mesa
Botania:stone0Slab:0, Laje de Andesito
Botania:stone0SlabFull:0, Laje de Andesito
Botania:stone1Slab:0, Laje de Basalto
Botania:stone1SlabFull:0, Laje de Basalto
Botania:stone2Slab:0, Laje de Diorito
Botania:stone2SlabFull:0, Laje de Diorito
Botania:stone3Slab:0, Laje de Granito
Botania:stone3SlabFull:0, Laje de Granito
Botania:stone8Slab:0, Laje de Tijolos de Andesito
Botania:stone8SlabFull:0, Laje de Tijolos de Andesito
Botania:stone9Slab:0, Laje de Tijolos de Basalto
Botania:stone9SlabFull:0, Laje de Tijolos de Basalto
Botania:stone10Slab:0, Laje de Tijolos de Diorito
Botania:stone10SlabFull:0, Laje de Tijolos de Diorito
Botania:stone11Slab:0, Laje de Tijolos de Granito
Botania:stone11SlabFull:0, Laje de Tijolos de Granito
Botania:pavement0Slab:0, Laje de Pavemento Português Branco
Botania:pavement0SlabFull:0, Laje de Pavemento Português Branco
Botania:pavement1Slab:0, Laje de Pavemento Português Preto
Botania:pavement1SlabFull:0, Laje de Pavemento Português Preto
Botania:pavement2Slab:0, Laje de Pavemento Português Azul
Botania:pavement2SlabFull:0, Laje de Pavemento Português Azul
Botania:pavement3Slab:0, Laje de Pavemento Português Vermelho
Botania:pavement3SlabFull:0, Laje de Pavemento Português Vermelho
Botania:pavement4Slab:0, Laje de Pavemento Português Amarelo
Botania:pavement4SlabFull:0, Laje de Pavemento Português Amarelo
Botania:pavement5Slab:0, Laje de Pavemento Português Verde
Botania:pavement5SlabFull:0, Laje de Pavemento Português Verde
Avaritia:Double_Craft, Compressed Crafting Table
Avaritia:Triple_Craft, Double Compressed Crafting Table
Avaritia:Dire_Crafting, Dire Crafting Table
Avaritia:Crystal_Matrix, Crystal Matrix
Avaritia:Resource_Block:0, Cosmic Neutronium Block
Avaritia:Resource_Block:1, Infinity Block
Avaritia:Neutron_Collector, Neutron Collector
Avaritia:Neutronium_Compressor, Neutronium Compressor
ThermalFoundation:Ore:0, Minério de Cobre
ThermalFoundation:Ore:1, Minério de Estanho
ThermalFoundation:Ore:2, Minério de Prata
ThermalFoundation:Ore:3, Minério de Chumbo
ThermalFoundation:Ore:4, Minério Ferroso
ThermalFoundation:Ore:5, Minério Brilhante
ThermalFoundation:Ore:6, Minério Infundido em Mana
ThermalFoundation:Storage:0, Bloco de Cobre
ThermalFoundation:Storage:1, Bloco de Estanho
ThermalFoundation:Storage:2, Bloco de Prata
ThermalFoundation:Storage:3, Bloco de Chumbo
ThermalFoundation:Storage:4, Bloco Ferroso
ThermalFoundation:Storage:5, Bloco Brilhante
ThermalFoundation:Storage:6, Bloco de Mana Infundida
ThermalFoundation:Storage:7, Bloco de Electro
ThermalFoundation:Storage:8, Bloco de Invar
ThermalFoundation:Storage:9, Bloco de Bronze
ThermalFoundation:Storage:10, Bloco de Signalo
ThermalFoundation:Storage:11, Bloco de Lúmio
ThermalFoundation:Storage:12, Bloco de Endério
ThermalFoundation:FluidRedstone, Redstone Desestabilizada
ThermalFoundation:FluidGlowstone, Pedra Luminosa Energizada
ThermalFoundation:FluidEnder, Ender Ressoante
ThermalFoundation:FluidPyrotheum, Pyrotheum Ardente
ThermalFoundation:FluidCryotheum, Cryotheum Gélido
ThermalFoundation:FluidAerotheum, Zephyrean Aerotheum
ThermalFoundation:FluidPetrotheum, Tectonic Petrotheum
ThermalFoundation:FluidMana, Mana Primordial
ThermalFoundation:FluidSteam, Vapor
ThermalFoundation:FluidCoal, Carvão Liquefeito
ImmersiveEngineering:ore:0, Copper Ore
ImmersiveEngineering:ore:1, Bauxite Ore
ImmersiveEngineering:ore:2, Lead Ore
ImmersiveEngineering:ore:3, Silver Ore
ImmersiveEngineering:ore:4, Nickel Ore
ImmersiveEngineering:storage:0, Block of Copper
ImmersiveEngineering:storage:1, Block of Aluminium
ImmersiveEngineering:storage:2, Block of Lead
ImmersiveEngineering:storage:3, Block of Silver
ImmersiveEngineering:storage:4, Block of Nickel
ImmersiveEngineering:storage:5, Block of Constantan
ImmersiveEngineering:storage:6, Block of Electrum
ImmersiveEngineering:storage:7, Block of Steel
ImmersiveEngineering:storage:8, Copper Wire Coil
ImmersiveEngineering:storage:9, Electrum Wire Coil
ImmersiveEngineering:storage:10, High-Voltage Wire Coil
ImmersiveEngineering:storageSlab:0, Copper Slab
ImmersiveEngineering:storageSlab:1, Aluminium Slab
ImmersiveEngineering:storageSlab:2, Lead Slab
ImmersiveEngineering:storageSlab:3, Silver Slab
ImmersiveEngineering:storageSlab:4, Nickel Slab
ImmersiveEngineering:storageSlab:5, Constantan Slab
ImmersiveEngineering:storageSlab:6, Electrum Slab
ImmersiveEngineering:storageSlab:7, Steel Slab
ImmersiveEngineering:stoneSlab:0, Hempcrete Slab
ImmersiveEngineering:stoneSlab:1, Concrete Slab
